Loading init from /workspace/pathfinder/train/checkpoints/d5_muon/best_model.pt
Loaded d=5 H=256 L=5 376,321 params
Init LER @ 4-param p=0.007: 0.02850
  >>> saved init checkpoint (ler=0.02850)
step  31800/40000  loss=0.0672  32.7 s/s  ETA 4min
step  31900/40000  loss=0.0688  32.7 s/s  ETA 4min
step  32000/40000  loss=0.0570  32.7 s/s  ETA 4min
  >>> LER @ p=0.007: 0.02790
step  32100/40000  loss=0.0401  32.7 s/s  ETA 4min
step  32200/40000  loss=0.0692  32.7 s/s  ETA 4min
step  32300/40000  loss=0.0420  32.7 s/s  ETA 4min
step  32400/40000  loss=0.0603  32.7 s/s  ETA 4min
step  32500/40000  loss=0.0606  32.7 s/s  ETA 4min
step  32600/40000  loss=0.1123  32.7 s/s  ETA 4min
step  32700/40000  loss=0.0742  32.7 s/s  ETA 4min
step  32800/40000  loss=0.1023  32.7 s/s  ETA 4min
step  32900/40000  loss=0.0766  32.7 s/s  ETA 4min
step  33000/40000  loss=0.0633  32.7 s/s  ETA 4min
step  33100/40000  loss=0.0748  32.7 s/s  ETA 4min
step  33200/40000  loss=0.0711  32.7 s/s  ETA 3min
step  33300/40000  loss=0.0905  32.7 s/s  ETA 3min
step  33400/40000  loss=0.0855  32.7 s/s  ETA 3min
step  33500/40000  loss=0.0677  32.7 s/s  ETA 3min
step  33600/40000  loss=0.0570  32.7 s/s  ETA 3min
step  33700/40000  loss=0.0662  32.7 s/s  ETA 3min
step  33800/40000  loss=0.0532  32.7 s/s  ETA 3min
step  33900/40000  loss=0.0795  32.7 s/s  ETA 3min
step  34000/40000  loss=0.0966  32.7 s/s  ETA 3min
  >>> LER @ p=0.007: 0.02770
step  34100/40000  loss=0.0896  32.7 s/s  ETA 3min
step  34200/40000  loss=0.0480  32.7 s/s  ETA 3min
step  34300/40000  loss=0.0562  32.7 s/s  ETA 3min
step  34400/40000  loss=0.0431  32.7 s/s  ETA 3min
step  34500/40000  loss=0.0926  32.7 s/s  ETA 3min
step  34600/40000  loss=0.0854  32.7 s/s  ETA 3min
step  34700/40000  loss=0.1150  32.7 s/s  ETA 3min
step  34800/40000  loss=0.0853  32.7 s/s  ETA 3min
step  34900/40000  loss=0.0821  32.7 s/s  ETA 3min
step  35000/40000  loss=0.0475  32.7 s/s  ETA 3min
