Device: cuda
Model: d=9, H=256, L=9, 624,129 params (1.2 MB at FP16)
Optimizers: 2 (SingleDeviceMuon, AdamW)
Pre-compiling Stim samplers for curriculum... 41 samplers ready.
step  18100/80000  loss=0.2611  p=0.00088  lr=0.017776  15.4 steps/s  ETA 67min
step  18200/80000  loss=0.1824  p=0.00089  lr=0.017751  15.4 steps/s  ETA 67min
step  18300/80000  loss=0.3624  p=0.00090  lr=0.017725  15.4 steps/s  ETA 67min
step  18400/80000  loss=0.2634  p=0.00091  lr=0.017700  15.4 steps/s  ETA 67min
step  18500/80000  loss=0.4792  p=0.00092  lr=0.017675  15.4 steps/s  ETA 67min
step  18600/80000  loss=0.3185  p=0.00093  lr=0.017649  15.4 steps/s  ETA 67min
step  18700/80000  loss=0.3919  p=0.00094  lr=0.017623  15.4 steps/s  ETA 66min
step  18800/80000  loss=0.3318  p=0.00094  lr=0.017598  15.4 steps/s  ETA 66min
step  18900/80000  loss=0.3784  p=0.00095  lr=0.017572  15.4 steps/s  ETA 66min
step  19000/80000  loss=0.4061  p=0.00096  lr=0.017546  15.4 steps/s  ETA 66min
step  19100/80000  loss=0.3123  p=0.00097  lr=0.017519  15.4 steps/s  ETA 66min
step  19200/80000  loss=0.4724  p=0.00098  lr=0.017493  15.4 steps/s  ETA 66min
step  19300/80000  loss=0.3490  p=0.00099  lr=0.017467  15.4 steps/s  ETA 66min
step  19400/80000  loss=0.4413  p=0.00100  lr=0.017440  15.4 steps/s  ETA 66min
step  19500/80000  loss=0.3775  p=0.00101  lr=0.017414  15.4 steps/s  ETA 66min
step  19600/80000  loss=0.3924  p=0.00101  lr=0.017387  15.4 steps/s  ETA 66min
step  19700/80000  loss=0.3310  p=0.00102  lr=0.017360  15.4 steps/s  ETA 65min
step  19800/80000  loss=0.3329  p=0.00103  lr=0.017333  15.4 steps/s  ETA 65min
step  19900/80000  loss=0.4217  p=0.00104  lr=0.017306  15.4 steps/s  ETA 65min
step  20000/80000  loss=0.4204  p=0.00105  lr=0.017279  15.4 steps/s  ETA 65min
  >>> EVAL LER at p=0.007: 0.418000
  >>> Saved best model (LER=0.418000)
step  20100/80000  loss=0.2852  p=0.00106  lr=0.017251  15.4 steps/s  ETA 65min
step  20200/80000  loss=0.3191  p=0.00107  lr=0.017224  15.4 steps/s  ETA 65min
step  20300/80000  loss=0.4589  p=0.00108  lr=0.017196  15.4 steps/s  ETA 65min
step  20400/80000  loss=0.3791  p=0.00109  lr=0.017169  15.4 steps/s  ETA 65min
step  20500/80000  loss=0.3769  p=0.00109  lr=0.017141  15.4 steps/s  ETA 65min
step  20600/80000  loss=0.4360  p=0.00110  lr=0.017113  15.4 steps/s  ETA 64min
step  20700/80000  loss=0.4213  p=0.00111  lr=0.017085  15.4 steps/s  ETA 64min
step  20800/80000  loss=0.3769  p=0.00112  lr=0.017057  15.4 steps/s  ETA 64min
step  20900/80000  loss=0.4336  p=0.00113  lr=0.017029  15.4 steps/s  ETA 64min
step  21000/80000  loss=0.3920  p=0.00114  lr=0.017000  15.4 steps/s  ETA 64min
step  21100/80000  loss=0.3653  p=0.00115  lr=0.016972  15.4 steps/s  ETA 64min
step  21200/80000  loss=0.3787  p=0.00115  lr=0.016943  15.4 steps/s  ETA 64min
step  21300/80000  loss=0.3773  p=0.00116  lr=0.016915  15.4 steps/s  ETA 64min
step  21400/80000  loss=0.4203  p=0.00117  lr=0.016886  15.4 steps/s  ETA 64min
step  21500/80000  loss=0.2634  p=0.00118  lr=0.016857  15.4 steps/s  ETA 63min
step  21600/80000  loss=0.3786  p=0.00119  lr=0.016828  15.4 steps/s  ETA 63min
step  21700/80000  loss=0.4074  p=0.00120  lr=0.016799  15.4 steps/s  ETA 63min
step  21800/80000  loss=0.4638  p=0.00121  lr=0.016770  15.4 steps/s  ETA 63min
step  21900/80000  loss=0.4206  p=0.00122  lr=0.016740  15.4 steps/s  ETA 63min
step  22000/80000  loss=0.3106  p=0.00123  lr=0.016711  15.4 steps/s  ETA 63min
  >>> EVAL LER at p=0.007: 0.421900
step  22100/80000  loss=0.4627  p=0.00123  lr=0.016681  15.4 steps/s  ETA 63min
step  22200/80000  loss=0.4200  p=0.00124  lr=0.016652  15.4 steps/s  ETA 63min
step  22300/80000  loss=0.4620  p=0.00125  lr=0.016622  15.4 steps/s  ETA 63min
step  22400/80000  loss=0.3344  p=0.00126  lr=0.016592  15.4 steps/s  ETA 62min
step  22500/80000  loss=0.4589  p=0.00127  lr=0.016562  15.4 steps/s  ETA 62min
step  22600/80000  loss=0.3523  p=0.00128  lr=0.016532  15.4 steps/s  ETA 62min
step  22700/80000  loss=0.3920  p=0.00129  lr=0.016502  15.4 steps/s  ETA 62min
step  22800/80000  loss=0.4063  p=0.00129  lr=0.016472  15.4 steps/s  ETA 62min
step  22900/80000  loss=0.5009  p=0.00130  lr=0.016441  15.4 steps/s  ETA 62min
step  23000/80000  loss=0.3792  p=0.00131  lr=0.016411  15.4 steps/s  ETA 62min
step  23100/80000  loss=0.2829  p=0.00132  lr=0.016380  15.4 steps/s  ETA 62min
step  23200/80000  loss=0.4068  p=0.00133  lr=0.016350  15.4 steps/s  ETA 62min
step  23300/80000  loss=0.4848  p=0.00134  lr=0.016319  15.4 steps/s  ETA 62min
step  23400/80000  loss=0.5489  p=0.00135  lr=0.016288  15.4 steps/s  ETA 61min
step  23500/80000  loss=0.4208  p=0.00136  lr=0.016257  15.4 steps/s  ETA 61min
step  23600/80000  loss=0.3547  p=0.00136  lr=0.016226  15.4 steps/s  ETA 61min
step  23700/80000  loss=0.3951  p=0.00137  lr=0.016195  15.4 steps/s  ETA 61min
step  23800/80000  loss=0.3550  p=0.00138  lr=0.016164  15.4 steps/s  ETA 61min
step  23900/80000  loss=0.5465  p=0.00139  lr=0.016132  15.4 steps/s  ETA 61min
step  24000/80000  loss=0.4588  p=0.00140  lr=0.016101  15.4 steps/s  ETA 61min
  >>> EVAL LER at p=0.007: 0.429200
step  24100/80000  loss=0.4590  p=0.00141  lr=0.016069  15.3 steps/s  ETA 61min
step  24200/80000  loss=0.4335  p=0.00142  lr=0.016038  15.3 steps/s  ETA 61min
step  24300/80000  loss=0.4068  p=0.00143  lr=0.016006  15.3 steps/s  ETA 60min
step  24400/80000  loss=0.4236  p=0.00143  lr=0.015974  15.3 steps/s  ETA 60min
step  24500/80000  loss=0.4201  p=0.00144  lr=0.015942  15.3 steps/s  ETA 60min
step  24600/80000  loss=0.4341  p=0.00145  lr=0.015910  15.3 steps/s  ETA 60min
step  24700/80000  loss=0.4830  p=0.00146  lr=0.015878  15.3 steps/s  ETA 60min
step  24800/80000  loss=0.4939  p=0.00147  lr=0.015846  15.3 steps/s  ETA 60min
step  24900/80000  loss=0.6009  p=0.00148  lr=0.015813  15.3 steps/s  ETA 60min
step  25000/80000  loss=0.4588  p=0.00149  lr=0.015781  15.3 steps/s  ETA 60min
step  25100/80000  loss=0.3956  p=0.00150  lr=0.015748  15.3 steps/s  ETA 60min
step  25200/80000  loss=0.4464  p=0.00151  lr=0.015716  15.3 steps/s  ETA 60min
step  25300/80000  loss=0.4827  p=0.00151  lr=0.015683  15.3 steps/s  ETA 59min
step  25400/80000  loss=0.3709  p=0.00152  lr=0.015650  15.3 steps/s  ETA 59min
step  25500/80000  loss=0.3849  p=0.00153  lr=0.015618  15.3 steps/s  ETA 59min
step  25600/80000  loss=0.5301  p=0.00154  lr=0.015585  15.3 steps/s  ETA 59min
step  25700/80000  loss=0.4826  p=0.00155  lr=0.015552  15.3 steps/s  ETA 59min
step  25800/80000  loss=0.4833  p=0.00156  lr=0.015518  15.3 steps/s  ETA 59min
step  25900/80000  loss=0.4710  p=0.00157  lr=0.015485  15.3 steps/s  ETA 59min
step  26000/80000  loss=0.4337  p=0.00158  lr=0.015452  15.3 steps/s  ETA 59min
  >>> EVAL LER at p=0.007: 0.425200
step  26100/80000  loss=0.4711  p=0.00158  lr=0.015419  15.3 steps/s  ETA 59min
step  26200/80000  loss=0.4130  p=0.00159  lr=0.015385  15.3 steps/s  ETA 59min
step  26300/80000  loss=0.6256  p=0.00160  lr=0.015352  15.3 steps/s  ETA 58min
step  26400/80000  loss=0.5609  p=0.00161  lr=0.015318  15.3 steps/s  ETA 58min
step  26500/80000  loss=0.4262  p=0.00162  lr=0.015284  15.3 steps/s  ETA 58min
step  26600/80000  loss=0.4832  p=0.00163  lr=0.015250  15.3 steps/s  ETA 58min
step  26700/80000  loss=0.4710  p=0.00164  lr=0.015217  15.3 steps/s  ETA 58min
step  26800/80000  loss=0.4844  p=0.00165  lr=0.015183  15.3 steps/s  ETA 58min
step  26900/80000  loss=0.5870  p=0.00165  lr=0.015148  15.3 steps/s  ETA 58min
step  27000/80000  loss=0.4725  p=0.00166  lr=0.015114  15.3 steps/s  ETA 58min
step  27100/80000  loss=0.4716  p=0.00167  lr=0.015080  15.3 steps/s  ETA 58min
step  27200/80000  loss=0.4942  p=0.00168  lr=0.015046  15.3 steps/s  ETA 57min
step  27300/80000  loss=0.4939  p=0.00169  lr=0.015011  15.3 steps/s  ETA 57min
step  27400/80000  loss=0.3744  p=0.00170  lr=0.014977  15.3 steps/s  ETA 57min
step  27500/80000  loss=0.4710  p=0.00171  lr=0.014942  15.3 steps/s  ETA 57min
step  27600/80000  loss=0.6137  p=0.00171  lr=0.014908  15.3 steps/s  ETA 57min
step  27700/80000  loss=0.4940  p=0.00172  lr=0.014873  15.3 steps/s  ETA 57min
step  27800/80000  loss=0.4945  p=0.00173  lr=0.014838  15.3 steps/s  ETA 57min
step  27900/80000  loss=0.4829  p=0.00174  lr=0.014804  15.3 steps/s  ETA 57min
step  28000/80000  loss=0.5233  p=0.00175  lr=0.014769  15.3 steps/s  ETA 57min
  >>> EVAL LER at p=0.007: 0.430700
