PathfinderHybrid d=7 H=192 L=7 heads=8 attn_every=2: 4,355,521 params
Pre-compiled 41 samplers (4-parameter noise).
Optimizer split: 2,543,808 Muon params, 1,811,713 AdamW params
step  30000/80000  loss=0.0013  p=0.00192  7.6 s/s  ETA 109min
step  30200/80000  loss=0.0072  p=0.00194  7.6 s/s  ETA 109min
step  30400/80000  loss=0.0133  p=0.00196  7.6 s/s  ETA 108min
step  30600/80000  loss=0.0166  p=0.00198  7.6 s/s  ETA 108min
step  30800/80000  loss=0.0069  p=0.00199  7.6 s/s  ETA 107min
step  31000/80000  loss=0.0084  p=0.00201  7.6 s/s  ETA 107min
step  31200/80000  loss=0.0009  p=0.00203  7.6 s/s  ETA 106min
step  31400/80000  loss=0.0123  p=0.00205  7.6 s/s  ETA 106min
step  31600/80000  loss=0.0068  p=0.00207  7.6 s/s  ETA 106min
step  31800/80000  loss=0.0059  p=0.00208  7.6 s/s  ETA 105min
step  32000/80000  loss=0.0338  p=0.00210  7.6 s/s  ETA 105min
  >>> LER @ p=0.007: 0.16830
step  32200/80000  loss=0.0045  p=0.00212  7.6 s/s  ETA 104min
step  32400/80000  loss=0.0259  p=0.00214  7.6 s/s  ETA 104min
step  32600/80000  loss=0.0063  p=0.00215  7.6 s/s  ETA 103min
step  32800/80000  loss=0.0112  p=0.00217  7.6 s/s  ETA 103min
step  33000/80000  loss=0.0149  p=0.00219  7.6 s/s  ETA 103min
step  33200/80000  loss=0.0021  p=0.00220  7.6 s/s  ETA 102min
step  33400/80000  loss=0.0016  p=0.00222  7.6 s/s  ETA 102min
step  33600/80000  loss=0.0037  p=0.00224  7.6 s/s  ETA 101min
step  33800/80000  loss=0.0185  p=0.00226  7.6 s/s  ETA 101min
step  34000/80000  loss=0.0064  p=0.00227  7.6 s/s  ETA 100min
step  34200/80000  loss=0.0062  p=0.00229  7.6 s/s  ETA 100min
step  34400/80000  loss=0.0047  p=0.00231  7.6 s/s  ETA 100min
step  34600/80000  loss=0.0066  p=0.00233  7.6 s/s  ETA 99min
step  34800/80000  loss=0.0120  p=0.00234  7.6 s/s  ETA 99min
step  35000/80000  loss=0.0030  p=0.00236  7.6 s/s  ETA 98min
step  35200/80000  loss=0.0054  p=0.00238  7.6 s/s  ETA 98min
step  35400/80000  loss=0.0026  p=0.00240  7.6 s/s  ETA 97min
step  35600/80000  loss=0.0032  p=0.00242  7.6 s/s  ETA 97min
step  35800/80000  loss=0.0179  p=0.00243  7.6 s/s  ETA 97min
step  36000/80000  loss=0.0044  p=0.00245  7.6 s/s  ETA 96min
  >>> LER @ p=0.007: 0.12600
  >>> saved (ler=0.12600)
step  36200/80000  loss=0.0234  p=0.00247  7.6 s/s  ETA 96min
step  36400/80000  loss=0.0088  p=0.00248  7.6 s/s  ETA 95min
step  36600/80000  loss=0.0076  p=0.00250  7.6 s/s  ETA 95min
step  36800/80000  loss=0.0110  p=0.00252  7.6 s/s  ETA 94min
step  37000/80000  loss=0.0117  p=0.00254  7.6 s/s  ETA 94min
step  37200/80000  loss=0.0044  p=0.00255  7.6 s/s  ETA 94min
step  37400/80000  loss=0.0171  p=0.00257  7.6 s/s  ETA 93min
step  37600/80000  loss=0.0089  p=0.00259  7.6 s/s  ETA 93min
step  37800/80000  loss=0.0104  p=0.00261  7.6 s/s  ETA 92min
step  38000/80000  loss=0.0221  p=0.00263  7.6 s/s  ETA 92min
step  38200/80000  loss=0.0491  p=0.00264  7.6 s/s  ETA 91min
step  38400/80000  loss=0.0067  p=0.00266  7.6 s/s  ETA 91min
step  38600/80000  loss=0.0205  p=0.00268  7.6 s/s  ETA 91min
step  38800/80000  loss=0.0180  p=0.00269  7.6 s/s  ETA 90min
step  39000/80000  loss=0.0060  p=0.00271  7.6 s/s  ETA 90min
step  39200/80000  loss=0.0298  p=0.00273  7.6 s/s  ETA 89min
step  39400/80000  loss=0.0070  p=0.00275  7.6 s/s  ETA 89min
step  39600/80000  loss=0.0134  p=0.00277  7.6 s/s  ETA 88min
step  39800/80000  loss=0.0290  p=0.00278  7.6 s/s  ETA 88min
step  40000/80000  loss=0.0194  p=0.00280  7.6 s/s  ETA 88min
  >>> LER @ p=0.007: 0.12730
step  40200/80000  loss=0.0192  p=0.00282  7.6 s/s  ETA 87min
step  40400/80000  loss=0.0322  p=0.00284  7.6 s/s  ETA 87min
step  40600/80000  loss=0.0063  p=0.00285  7.6 s/s  ETA 86min
