Loading init from /workspace/pathfinder/train/checkpoints/d7_final/best_model.pt
Loaded d=7 H=256 L=7 500,225 params
Init LER @ 4-param p=0.007: 0.04130
  >>> saved init checkpoint (ler=0.04130)
  >>> LER @ p=0.007: 0.03540
  >>> saved (ler=0.03540)
step  26100/40000  loss=0.0991  19.4 s/s  ETA 12min
step  26200/40000  loss=0.1205  19.4 s/s  ETA 12min
step  26300/40000  loss=0.1356  19.4 s/s  ETA 12min
step  26400/40000  loss=0.0950  19.4 s/s  ETA 12min
step  26500/40000  loss=0.0567  19.4 s/s  ETA 12min
step  26600/40000  loss=0.1356  19.4 s/s  ETA 12min
step  26700/40000  loss=0.0886  19.4 s/s  ETA 11min
step  26800/40000  loss=0.1483  19.4 s/s  ETA 11min
step  26900/40000  loss=0.0915  19.4 s/s  ETA 11min
step  27000/40000  loss=0.0819  19.4 s/s  ETA 11min
step  27100/40000  loss=0.0951  19.4 s/s  ETA 11min
step  27200/40000  loss=0.1231  19.4 s/s  ETA 11min
step  27300/40000  loss=0.0802  19.4 s/s  ETA 11min
step  27400/40000  loss=0.0658  19.4 s/s  ETA 11min
step  27500/40000  loss=0.0923  19.3 s/s  ETA 11min
step  27600/40000  loss=0.0935  19.4 s/s  ETA 11min
step  27700/40000  loss=0.0949  19.4 s/s  ETA 11min
step  27800/40000  loss=0.1588  19.3 s/s  ETA 11min
step  27900/40000  loss=0.0993  19.4 s/s  ETA 10min
step  28000/40000  loss=0.0986  19.4 s/s  ETA 10min
  >>> LER @ p=0.007: 0.03500
  >>> saved (ler=0.03500)
step  28100/40000  loss=0.0716  19.3 s/s  ETA 10min
step  28200/40000  loss=0.1061  19.3 s/s  ETA 10min
step  28300/40000  loss=0.1525  19.3 s/s  ETA 10min
step  28400/40000  loss=0.0981  19.3 s/s  ETA 10min
step  28500/40000  loss=0.0887  19.3 s/s  ETA 10min
step  28600/40000  loss=0.0603  19.3 s/s  ETA 10min
step  28700/40000  loss=0.0843  19.3 s/s  ETA 10min
step  28800/40000  loss=0.0871  19.3 s/s  ETA 10min
step  28900/40000  loss=0.0649  19.4 s/s  ETA 10min
step  29000/40000  loss=0.1683  19.4 s/s  ETA 9min
step  29100/40000  loss=0.0650  19.4 s/s  ETA 9min
step  29200/40000  loss=0.0845  19.4 s/s  ETA 9min
step  29300/40000  loss=0.1101  19.4 s/s  ETA 9min
step  29400/40000  loss=0.0630  19.4 s/s  ETA 9min
step  29500/40000  loss=0.0850  19.4 s/s  ETA 9min
step  29600/40000  loss=0.1305  19.4 s/s  ETA 9min
step  29700/40000  loss=0.0556  19.4 s/s  ETA 9min
step  29800/40000  loss=0.1406  19.4 s/s  ETA 9min
step  29900/40000  loss=0.0723  19.4 s/s  ETA 9min
step  30000/40000  loss=0.0707  19.4 s/s  ETA 9min
  >>> LER @ p=0.007: 0.03730
step  30100/40000  loss=0.0835  19.3 s/s  ETA 9min
step  30200/40000  loss=0.0888  19.3 s/s  ETA 8min
step  30300/40000  loss=0.1286  19.3 s/s  ETA 8min
step  30400/40000  loss=0.0910  19.3 s/s  ETA 8min
step  30500/40000  loss=0.0648  19.3 s/s  ETA 8min
step  30600/40000  loss=0.1122  19.3 s/s  ETA 8min
step  30700/40000  loss=0.0676  19.3 s/s  ETA 8min
step  30800/40000  loss=0.0781  19.3 s/s  ETA 8min
step  30900/40000  loss=0.0735  19.3 s/s  ETA 8min
step  31000/40000  loss=0.0456  19.3 s/s  ETA 8min
step  31100/40000  loss=0.1104  19.3 s/s  ETA 8min
step  31200/40000  loss=0.0654  19.3 s/s  ETA 8min
step  31300/40000  loss=0.1078  19.3 s/s  ETA 7min
step  31400/40000  loss=0.0841  19.3 s/s  ETA 7min
step  31500/40000  loss=0.0877  19.3 s/s  ETA 7min
step  31600/40000  loss=0.0974  19.3 s/s  ETA 7min
step  31700/40000  loss=0.0833  19.3 s/s  ETA 7min
step  31800/40000  loss=0.0961  19.3 s/s  ETA 7min
step  31900/40000  loss=0.0836  19.3 s/s  ETA 7min
step  32000/40000  loss=0.0801  19.3 s/s  ETA 7min
  >>> LER @ p=0.007: 0.03690
step  32100/40000  loss=0.0765  19.3 s/s  ETA 7min
step  32200/40000  loss=0.0832  19.3 s/s  ETA 7min
