Ablation: AdamW on ALL params, d=7, H=256, L=7, 500,225 params
Pre-compiled 41 samplers at 3-parameter noise (Table 4 methodology).
step  14600/80000  loss=0.3000  p=0.00070  33.2 s/s  ETA 33min
step  14700/80000  loss=0.2547  p=0.00070  33.2 s/s  ETA 33min
step  14800/80000  loss=0.1677  p=0.00070  33.2 s/s  ETA 33min
step  14900/80000  loss=0.2689  p=0.00070  33.2 s/s  ETA 33min
step  15000/80000  loss=0.3188  p=0.00070  33.2 s/s  ETA 33min
step  15100/80000  loss=0.1259  p=0.00070  33.2 s/s  ETA 33min
step  15200/80000  loss=0.2121  p=0.00070  33.2 s/s  ETA 33min
step  15300/80000  loss=0.1784  p=0.00070  33.2 s/s  ETA 32min
step  15400/80000  loss=0.2238  p=0.00070  33.2 s/s  ETA 32min
step  15500/80000  loss=0.1892  p=0.00070  33.2 s/s  ETA 32min
step  15600/80000  loss=0.1796  p=0.00070  33.3 s/s  ETA 32min
step  15700/80000  loss=0.2344  p=0.00070  33.3 s/s  ETA 32min
step  15800/80000  loss=0.2121  p=0.00070  33.3 s/s  ETA 32min
step  15900/80000  loss=0.1895  p=0.00070  33.3 s/s  ETA 32min
step  16000/80000  loss=0.2472  p=0.00070  33.3 s/s  ETA 32min
  >>> LER @ p=0.007: 0.34830
step  16100/80000  loss=0.2237  p=0.00071  33.2 s/s  ETA 32min
step  16200/80000  loss=0.1913  p=0.00072  33.2 s/s  ETA 32min
step  16300/80000  loss=0.2555  p=0.00073  33.2 s/s  ETA 32min
step  16400/80000  loss=0.2765  p=0.00073  33.2 s/s  ETA 32min
step  16500/80000  loss=0.2122  p=0.00074  33.2 s/s  ETA 32min
step  16600/80000  loss=0.2338  p=0.00075  33.2 s/s  ETA 32min
step  16700/80000  loss=0.2760  p=0.00076  33.2 s/s  ETA 32min
step  16800/80000  loss=0.2124  p=0.00077  33.2 s/s  ETA 32min
step  16900/80000  loss=0.1933  p=0.00078  33.2 s/s  ETA 32min
step  17000/80000  loss=0.2131  p=0.00079  33.2 s/s  ETA 32min
step  17100/80000  loss=0.3077  p=0.00080  33.2 s/s  ETA 32min
step  17200/80000  loss=0.2445  p=0.00080  33.2 s/s  ETA 31min
step  17300/80000  loss=0.2233  p=0.00081  33.2 s/s  ETA 31min
step  17400/80000  loss=0.2339  p=0.00082  33.2 s/s  ETA 31min
step  17500/80000  loss=0.2557  p=0.00083  33.2 s/s  ETA 31min
step  17600/80000  loss=0.2663  p=0.00084  33.2 s/s  ETA 31min
step  17700/80000  loss=0.2663  p=0.00085  33.2 s/s  ETA 31min
step  17800/80000  loss=0.2559  p=0.00086  33.2 s/s  ETA 31min
step  17900/80000  loss=0.2038  p=0.00087  33.3 s/s  ETA 31min
step  18000/80000  loss=0.2996  p=0.00088  33.3 s/s  ETA 31min
  >>> LER @ p=0.007: 0.35350
step  18100/80000  loss=0.2557  p=0.00088  33.2 s/s  ETA 31min
step  18200/80000  loss=0.1918  p=0.00089  33.2 s/s  ETA 31min
step  18300/80000  loss=0.2839  p=0.00090  33.2 s/s  ETA 31min
step  18400/80000  loss=0.3345  p=0.00091  33.2 s/s  ETA 31min
step  18500/80000  loss=0.2553  p=0.00092  33.2 s/s  ETA 31min
step  18600/80000  loss=0.2459  p=0.00093  33.2 s/s  ETA 31min
step  18700/80000  loss=0.2273  p=0.00094  33.3 s/s  ETA 31min
step  18800/80000  loss=0.2062  p=0.00094  33.3 s/s  ETA 31min
step  18900/80000  loss=0.3115  p=0.00095  33.3 s/s  ETA 31min
step  19000/80000  loss=0.2843  p=0.00096  33.3 s/s  ETA 31min
step  19100/80000  loss=0.3029  p=0.00097  33.3 s/s  ETA 31min
step  19200/80000  loss=0.1980  p=0.00098  33.3 s/s  ETA 30min
step  19300/80000  loss=0.3026  p=0.00099  33.3 s/s  ETA 30min
step  19400/80000  loss=0.2930  p=0.00100  33.3 s/s  ETA 30min
step  19500/80000  loss=0.2552  p=0.00101  33.3 s/s  ETA 30min
step  19600/80000  loss=0.2394  p=0.00101  33.3 s/s  ETA 30min
step  19700/80000  loss=0.3421  p=0.00102  33.3 s/s  ETA 30min
step  19800/80000  loss=0.2935  p=0.00103  33.3 s/s  ETA 30min
step  19900/80000  loss=0.3299  p=0.00104  33.3 s/s  ETA 30min
step  20000/80000  loss=0.2446  p=0.00105  33.3 s/s  ETA 30min
  >>> LER @ p=0.007: 0.34650
step  20100/80000  loss=0.2597  p=0.00106  33.3 s/s  ETA 30min
step  20200/80000  loss=0.2936  p=0.00107  33.3 s/s  ETA 30min
step  20300/80000  loss=0.2555  p=0.00108  33.3 s/s  ETA 30min
step  20400/80000  loss=0.2837  p=0.00109  33.3 s/s  ETA 30min
step  20500/80000  loss=0.2654  p=0.00109  33.3 s/s  ETA 30min
step  20600/80000  loss=0.3571  p=0.00110  33.3 s/s  ETA 30min
step  20700/80000  loss=0.2071  p=0.00111  33.3 s/s  ETA 30min
step  20800/80000  loss=0.3024  p=0.00112  33.3 s/s  ETA 30min
step  20900/80000  loss=0.3204  p=0.00113  33.3 s/s  ETA 30min
step  21000/80000  loss=0.2663  p=0.00114  33.3 s/s  ETA 30min
step  21100/80000  loss=0.2746  p=0.00115  33.3 s/s  ETA 29min
step  21200/80000  loss=0.2747  p=0.00115  33.3 s/s  ETA 29min
step  21300/80000  loss=0.2930  p=0.00116  33.3 s/s  ETA 29min
step  21400/80000  loss=0.2567  p=0.00117  33.3 s/s  ETA 29min
step  21500/80000  loss=0.3290  p=0.00118  33.3 s/s  ETA 29min
step  21600/80000  loss=0.2844  p=0.00119  33.3 s/s  ETA 29min
step  21700/80000  loss=0.1991  p=0.00120  33.3 s/s  ETA 29min
step  21800/80000  loss=0.3455  p=0.00121  33.3 s/s  ETA 29min
step  21900/80000  loss=0.3114  p=0.00122  33.3 s/s  ETA 29min
step  22000/80000  loss=0.3673  p=0.00123  33.3 s/s  ETA 29min
  >>> LER @ p=0.007: 0.34810
step  22100/80000  loss=0.3117  p=0.00123  33.3 s/s  ETA 29min
step  22200/80000  loss=0.2597  p=0.00124  33.3 s/s  ETA 29min
step  22300/80000  loss=0.3200  p=0.00125  33.3 s/s  ETA 29min
step  22400/80000  loss=0.2937  p=0.00126  33.3 s/s  ETA 29min
step  22500/80000  loss=0.2852  p=0.00127  33.3 s/s  ETA 29min
step  22600/80000  loss=0.3541  p=0.00128  33.3 s/s  ETA 29min
step  22700/80000  loss=0.2936  p=0.00129  33.3 s/s  ETA 29min
step  22800/80000  loss=0.3374  p=0.00129  33.3 s/s  ETA 29min
step  22900/80000  loss=0.3114  p=0.00130  33.3 s/s  ETA 29min
step  23000/80000  loss=0.3202  p=0.00131  33.3 s/s  ETA 29min
step  23100/80000  loss=0.2933  p=0.00132  33.3 s/s  ETA 28min
step  23200/80000  loss=0.2584  p=0.00133  33.3 s/s  ETA 28min
step  23300/80000  loss=0.4043  p=0.00134  33.3 s/s  ETA 28min
step  23400/80000  loss=0.2501  p=0.00135  33.3 s/s  ETA 28min
step  23500/80000  loss=0.3535  p=0.00136  33.3 s/s  ETA 28min
step  23600/80000  loss=0.2884  p=0.00136  33.3 s/s  ETA 28min
step  23700/80000  loss=0.3370  p=0.00137  33.3 s/s  ETA 28min
step  23800/80000  loss=0.3533  p=0.00138  33.3 s/s  ETA 28min
step  23900/80000  loss=0.3219  p=0.00139  33.3 s/s  ETA 28min
step  24000/80000  loss=0.3871  p=0.00140  33.3 s/s  ETA 28min
  >>> LER @ p=0.007: 0.33970
  >>> saved (ler=0.33970)
step  24100/80000  loss=0.3806  p=0.00141  33.3 s/s  ETA 28min
step  24200/80000  loss=0.3201  p=0.00142  33.3 s/s  ETA 28min
step  24300/80000  loss=0.3456  p=0.00143  33.3 s/s  ETA 28min
step  24400/80000  loss=0.3117  p=0.00143  33.3 s/s  ETA 28min
step  24500/80000  loss=0.2683  p=0.00144  33.3 s/s  ETA 28min
step  24600/80000  loss=0.3691  p=0.00145  33.3 s/s  ETA 28min
step  24700/80000  loss=0.3371  p=0.00146  33.3 s/s  ETA 28min
step  24800/80000  loss=0.3936  p=0.00147  33.3 s/s  ETA 28min
step  24900/80000  loss=0.3228  p=0.00148  33.3 s/s  ETA 28min
step  25000/80000  loss=0.3113  p=0.00149  33.3 s/s  ETA 27min
step  25100/80000  loss=0.3864  p=0.00150  33.3 s/s  ETA 27min
step  25200/80000  loss=0.4173  p=0.00151  33.3 s/s  ETA 27min
step  25300/80000  loss=0.3985  p=0.00151  33.3 s/s  ETA 27min
step  25400/80000  loss=0.3375  p=0.00152  33.4 s/s  ETA 27min
step  25500/80000  loss=0.3535  p=0.00153  33.4 s/s  ETA 27min
step  25600/80000  loss=0.3301  p=0.00154  33.4 s/s  ETA 27min
step  25700/80000  loss=0.3955  p=0.00155  33.4 s/s  ETA 27min
step  25800/80000  loss=0.3540  p=0.00156  33.4 s/s  ETA 27min
step  25900/80000  loss=0.3370  p=0.00157  33.4 s/s  ETA 27min
step  26000/80000  loss=0.2780  p=0.00158  33.4 s/s  ETA 27min
  >>> LER @ p=0.007: 0.35330
step  26100/80000  loss=0.3128  p=0.00158  33.4 s/s  ETA 27min
step  26200/80000  loss=0.3455  p=0.00159  33.4 s/s  ETA 27min
step  26300/80000  loss=0.3691  p=0.00160  33.4 s/s  ETA 27min
step  26400/80000  loss=0.3057  p=0.00161  33.4 s/s  ETA 27min
step  26500/80000  loss=0.3622  p=0.00162  33.4 s/s  ETA 27min
